,Compound,Date,Negative,Neutral,News Channel,Positive,Tweet,Tweets Ago
11,0.6486,Fri Jan 12 13:24:30 +0000 2018,0.782,0.0,@BBC,0.218,RT @bbcmusic: #SoundOf2018 Winner @thisissigrid treated us to an exclusive performance in her hometown of Ålesund in Norway earlier this mo…,12
12,0.0,Fri Jan 12 13:24:15 +0000 2018,1.0,0.0,@BBC,0.0,RT @bbcworldservice: McDonald's is the only thing that would get this Nigerian TV presenter to come back to the UK. https://t.co/C7r81iT937,13
13,0.3612,Fri Jan 12 13:23:54 +0000 2018,0.898,0.0,@BBC,0.102,"RT @BBCBreakfast: The Queen has given a rare interview to the @BBC, revealing what it was like at her Coronation 65 years ago. https://t.co…",14
14,0.2263,Fri Jan 12 13:23:47 +0000 2018,0.772,0.097,@BBC,0.131,RT @TWBBC: Alice Lee was fighting sexism in science over a century ago. @Utafrith tells @ProfBrianCox why Alice is her inspiration for @roy…,15
15,0.3818,Fri Jan 12 13:23:40 +0000 2018,0.822,0.0,@BBC,0.178,"RT @bbcmusic: 💙@DuaLipa unleashes visually stunning video for 'IDGAF' ❤️
Watch 👉 https://t.co/cCOdxNstUx https://t.co/n8XGs50w5b",16
16,0.0,Fri Jan 12 13:06:44 +0000 2018,1.0,0.0,@BBC,0.0,RT @bbcworldservice: Why do astronauts get taller in space? https://t.co/uXtAGkYTkE,17
17,0.0,Fri Jan 12 13:04:04 +0000 2018,1.0,0.0,@BBC,0.0,Move over Nessie! Here are 5 things you might not know about Scottish lochs. 👉 https://t.co/fq15NzWVNA https://t.co/7l6MFsl8WZ,18
18,0.4019,Fri Jan 12 12:44:54 +0000 2018,0.899,0.0,@BBC,0.101,"RT @bbcpress: 👑 HM The Queen and HRH The Prince of Wales help bring the @RoyalFamily art collection to life, in a major new season across T…",19
19,-0.1531,Fri Jan 12 12:30:02 +0000 2018,0.909,0.091,@BBC,0.0,"🐱 The rusty spotted cat might be 200 x lighter than a lion, but it's still a ferocious predator. 🐾 

#BigCats https://t.co/PgIC5WfdaJ",20
20,-0.7845,Fri Jan 12 19:33:04 +0000 2018,0.465,0.535,@BBC,0.0,The day I accidentally killed a little boy. https://t.co/QvHrUFLJic https://t.co/r3YCMYGeDs,21
21,-0.7506,Fri Jan 12 19:00:07 +0000 2018,0.652,0.348,@BBC,0.0,"In the endless winter night, terrifying monsters haunt Iceland's caves and mountains. 😱👹 https://t.co/cwZdBQGjct",22
22,-0.4404,Fri Jan 12 18:33:03 +0000 2018,0.818,0.182,@BBC,0.0,"Tonight, @CharltonBrooker, @ScarlettMoffatt and @Pearlie_mack talk pet hates and peeves. 🙅

#Room101 | 8:30pm |… https://t.co/3ydAdVcULC",23
23,0.4404,Fri Jan 12 17:58:03 +0000 2018,0.854,0.0,@BBC,0.146,"'Kids are easy to manage... you just lie to them.' 😂

@SindhuVFunny on how to raise children. 👉… https://t.co/QZuCvxhQr2",24
24,0.0,Fri Jan 12 17:30:07 +0000 2018,1.0,0.0,@BBC,0.0,"Errs
Yer
Dinner

On the table in just minutes 😂
https://t.co/BDG2qj8QGf",25
25,0.0,Fri Jan 12 17:00:05 +0000 2018,1.0,0.0,@BBC,0.0,Astronomers have caught a massive black hole letting out a 'double burp' after bingeing on hot gas.… https://t.co/kvjvjFcO41,26
26,0.0,Fri Jan 12 16:40:51 +0000 2018,1.0,0.0,@BBC,0.0,Where does the money go from the 5p plastic bag charge? 🛍 https://t.co/H3UjuZqd3I https://t.co/4DxREaZtZh,27
27,0.3612,Fri Jan 12 15:00:02 +0000 2018,0.884,0.0,@BBC,0.116,"The Queen reveals what it's actually like to take a ride in the Gold State Coach. 👑 

#TheCoronation is on @BBCOne… https://t.co/16H4OnOSCh",28
28,-0.128,Fri Jan 12 14:03:03 +0000 2018,0.681,0.173,@BBC,0.147,How Grace Kelly went from being the family failure to Hollywood royalty. ✨🎬 👑 https://t.co/iIXtfmNCew https://t.co/sURkXsNWcl,29
29,0.481,Fri Jan 12 13:39:17 +0000 2018,0.852,0.0,@BBC,0.148,"RT @BBCBargainHunt: Oh look, a ring. Oh look, it's got your name on it… 
SURPRISE PROPOSAL! 💍❤️

#bbcbargainhunt #bargainhunt https://t.co/…",30
30,0.4391,Fri Jan 12 13:30:04 +0000 2018,0.804,0.0,@BBC,0.196,"'Second chances are really important to me'. 

🎶 @JohnLegend explains what Bob Marley’s Redemption Song means to hi… https://t.co/NnbZVnWXqK",31
31,0.6486,Fri Jan 12 13:24:30 +0000 2018,0.782,0.0,@BBC,0.218,RT @bbcmusic: #SoundOf2018 Winner @thisissigrid treated us to an exclusive performance in her hometown of Ålesund in Norway earlier this mo…,32
32,0.0,Fri Jan 12 13:24:15 +0000 2018,1.0,0.0,@BBC,0.0,RT @bbcworldservice: McDonald's is the only thing that would get this Nigerian TV presenter to come back to the UK. https://t.co/C7r81iT937,33
33,0.3612,Fri Jan 12 13:23:54 +0000 2018,0.898,0.0,@BBC,0.102,"RT @BBCBreakfast: The Queen has given a rare interview to the @BBC, revealing what it was like at her Coronation 65 years ago. https://t.co…",34
34,0.2263,Fri Jan 12 13:23:47 +0000 2018,0.772,0.097,@BBC,0.131,RT @TWBBC: Alice Lee was fighting sexism in science over a century ago. @Utafrith tells @ProfBrianCox why Alice is her inspiration for @roy…,35
35,0.3818,Fri Jan 12 13:23:40 +0000 2018,0.822,0.0,@BBC,0.178,"RT @bbcmusic: 💙@DuaLipa unleashes visually stunning video for 'IDGAF' ❤️
Watch 👉 https://t.co/cCOdxNstUx https://t.co/n8XGs50w5b",36
36,0.0,Fri Jan 12 13:06:44 +0000 2018,1.0,0.0,@BBC,0.0,RT @bbcworldservice: Why do astronauts get taller in space? https://t.co/uXtAGkYTkE,37
37,0.0,Fri Jan 12 13:04:04 +0000 2018,1.0,0.0,@BBC,0.0,Move over Nessie! Here are 5 things you might not know about Scottish lochs. 👉 https://t.co/fq15NzWVNA https://t.co/7l6MFsl8WZ,38
38,0.4019,Fri Jan 12 12:44:54 +0000 2018,0.899,0.0,@BBC,0.101,"RT @bbcpress: 👑 HM The Queen and HRH The Prince of Wales help bring the @RoyalFamily art collection to life, in a major new season across T…",39
39,-0.1531,Fri Jan 12 12:30:02 +0000 2018,0.909,0.091,@BBC,0.0,"🐱 The rusty spotted cat might be 200 x lighter than a lion, but it's still a ferocious predator. 🐾 

#BigCats https://t.co/PgIC5WfdaJ",40
40,-0.7184,Fri Jan 12 12:01:03 +0000 2018,0.462,0.538,@BBC,0.0,6 controversial gigs that broke cultural boycotts. 🎤✊ https://t.co/8pk8uSAqjy https://t.co/K3MJOeEbOa,41
41,0.4215,Fri Jan 12 10:49:42 +0000 2018,0.682,0.108,@BBC,0.21,"👑🎶 The moment @ThisIsSigrid found out she'd won @BBCMusic's #SoundOf2018. 

There were tears. 😭 https://t.co/3Rc2K6dwMS",42
42,0.5719,Fri Jan 12 10:46:24 +0000 2018,0.684,0.0,@BBC,0.316,"RT @bbcmusic: ⚡️ “Sigrid wins the #SoundOf2018 🏆”

https://t.co/L5njgZ2gfz",43
43,0.9042,Fri Jan 12 10:46:11 +0000 2018,0.534,0.0,@BBC,0.466,"RT @bbcmusic: 🏆 #SoundOf2018 Winner Alert 🏆 

Huge congratulations to the phenomenal @thisissigrid, the artist our 173 pundits worldwide ha…",44
44,0.3182,Fri Jan 12 09:03:03 +0000 2018,0.674,0.12,@BBC,0.206,"Is the miserable British weather making you want to move abroad? 

✈️☀️🎒Take this quiz to see which country best su… https://t.co/7R43a6YAfd",45
45,0.0,Fri Jan 12 08:42:02 +0000 2018,1.0,0.0,@BBC,0.0,🐎 This Arabian horse &amp; his Palestinian breeder are competing in a show bringing Israelis &amp; Palestinians together. https://t.co/NeGZijFDYP,46
46,-0.4215,Fri Jan 12 08:38:28 +0000 2018,0.797,0.203,@BBC,0.0,RT @bbcarts: Painting over loneliness - how art can beat the blues https://t.co/HSsj05Asy3,47
47,0.0,Fri Jan 12 08:36:54 +0000 2018,1.0,0.0,@BBC,0.0,"RT @BBC_Teach: Did you know that UK schools use £543 million of electricity every year?

The new #TerrificScientific Power investigation⚡️…",48
48,0.4939,Fri Jan 12 08:36:42 +0000 2018,0.824,0.0,@BBC,0.176,RT @BBCFood: Lemony-cinnamon custard tart in the sunshine. It’s gotta be the @HairyBikers #Medadventure https://t.co/tRzT5PEgOR https://t.c…,49
49,-0.079,Fri Jan 12 08:22:06 +0000 2018,0.763,0.125,@BBC,0.112,"Long nights, snowshoes and a broken down boat... The @BBCOne crew reveal what it was really like to film new nature… https://t.co/Uo9QBgl90m",50
50,0.0,Fri Jan 12 08:00:04 +0000 2018,1.0,0.0,@BBC,0.0,Absolutely fant-ice-tic. ❄️ https://t.co/DEllLWKxtc,51
51,0.0,Fri Jan 12 07:35:03 +0000 2018,1.0,0.0,@BBC,0.0,"🌡🇲🇽🏜 One of Mexico's best-kept secrets, the Samalayuca sand dunes have gone from no-go area to hot destination.… https://t.co/0MHaiD6h2V",52
52,0.0,Thu Jan 11 19:00:05 +0000 2018,1.0,0.0,@BBC,0.0,Where'd all those £3 houses go?? 😂☕ https://t.co/z0RWc8j0HA,53
53,-0.296,Thu Jan 11 18:30:07 +0000 2018,0.879,0.121,@BBC,0.0,"The ‘untranslatable’ Japanese phrase ‘Koi No Yokan’ is ‘the premonition of love’. 🔮❤️️

@BBC_Culture asked Japanese… https://t.co/3Xn9HpD25B",54
54,0.4404,Thu Jan 11 18:00:07 +0000 2018,0.818,0.0,@BBC,0.182,"⏳ Easy, meat-free family meals that'll be on the table in 30 minutes. 👉 https://t.co/StpMPdn4xT https://t.co/7nU1WKY1O8",55
55,0.4199,Thu Jan 11 17:44:18 +0000 2018,0.872,0.0,@BBC,0.128,"RT @bbccomedy: #TheLeagueOfGentlemen first broadcast on this day in 1999. That's, er, seven and twelfty years ago! Thank you @ReeceShearsmi…",56
56,-0.1531,Thu Jan 11 17:44:05 +0000 2018,0.754,0.135,@BBC,0.111,"RT @BBCEngland: ""Black pudding saved my life"" - a butcher trapped in a walk-in freezer used the oversized sausage as a battering ram in ord…",57
57,0.3182,Thu Jan 11 17:43:58 +0000 2018,0.887,0.0,@BBC,0.113,"RT @bbcmusic: 💥@RitaOra and @LiamPayne will be on @BBCR1's Breakfast Show TOMORROW 🙌
Make sure you're listening from 7.30am 👉 https://t.co/…",58
58,0.5859,Thu Jan 11 17:30:03 +0000 2018,0.743,0.0,@BBC,0.257,The amazing Victorian street in Bristol that's been buried in time. ⏳ https://t.co/RCGLZ4uAtx,59
59,0.4404,Thu Jan 11 17:03:04 +0000 2018,0.879,0.0,@BBC,0.121,"🐆🦁🐅 From the biggest to the smallest, the fastest to the strongest, find out more about the cats that appear in… https://t.co/LTSJygBchr",60
60,0.4215,Thu Jan 11 14:58:04 +0000 2018,0.865,0.0,@BBC,0.135,The mum who took a once-in-a-lifetime photograph of four beaming royals on Christmas Day says it's changed her life… https://t.co/aJZJLsSy1i,61
61,-0.765,Thu Jan 11 14:26:03 +0000 2018,0.663,0.337,@BBC,0.0,YouTube has cut ties with vlogger Logan Paul over his Japan suicide video. https://t.co/zE0vEGoLkK https://t.co/7q0VHdIOdP,62
62,0.2382,Thu Jan 11 14:00:11 +0000 2018,0.891,0.0,@BBC,0.109,❄️ It’s easy to write-off generation ‘snowflake’ but @BBC_Capital analyses why their concerns may be justified.… https://t.co/stuvOVAmjn,63
63,0.2023,Thu Jan 11 13:30:04 +0000 2018,0.924,0.0,@BBC,0.076,BBC @1Xtra has revealed the top 10 UK acts from the world of black music it predicts to be big in 2018.… https://t.co/mEltLSPgSi,64
64,0.0,Thu Jan 11 12:58:03 +0000 2018,1.0,0.0,@BBC,0.0,"🎶 💖 Fancy some new music from @Camila_Cabello? The singer debuted her song 'Never Be The Same' live on US TV. 

Tak… https://t.co/qzQlQJzCXY",65
65,0.0,Thu Jan 11 12:30:03 +0000 2018,1.0,0.0,@BBC,0.0,🥗 @IAmWill is a vegan and the vegan illuminati (aka the 'veganati') made him do it. 😂 https://t.co/hc3TEJXbPS,66
66,0.0,Thu Jan 11 12:00:09 +0000 2018,1.0,0.0,@BBC,0.0,"Bubble wrap was originally made to be wallpaper?!

How a protective wrapping became a million dollar idea. 👉… https://t.co/diX5jX1IYb",67
67,-0.6124,Thu Jan 11 11:30:06 +0000 2018,0.706,0.294,@BBC,0.0,A new environment strategy aims to stop needless plastic waste by 2042. ♻️ 🌍 https://t.co/hZtzxIfo3N https://t.co/QjXOuKM0TF,68
68,0.0,Thu Jan 11 11:27:58 +0000 2018,1.0,0.0,@BBC,0.0,"RT @bbcpress: 🇰🇷 @BBCSport is carrying the Olympic torch to #PyeongChang2018 this February. Catch all the unmissable moments on @BBCOne, @B…",69
69,0.8066,Thu Jan 11 11:00:03 +0000 2018,0.7,0.0,@BBC,0.3,"What a brilliant idea – baking tortillas to use as pizza bases! So easy &amp; only 440 calories. 🍕

Check out… https://t.co/n9PQuNSKw4",70
70,0.6369,Thu Jan 11 10:33:03 +0000 2018,0.833,0.0,@BBC,0.167,Who will be best man at Prince Harry and Meghan Markle's wedding? Prince William says that he hasn't been asked yet… https://t.co/lp3PbNF9Lm,71
71,-0.5574,Thu Jan 11 09:48:11 +0000 2018,0.735,0.265,@BBC,0.0,RT @BBCScotlandNews: Scotland ban announced for plastic cotton buds https://t.co/g1xEBf6P7l https://t.co/q59DrpZwre,72
72,-0.765,Thu Jan 11 09:48:07 +0000 2018,0.694,0.306,@BBC,0.0,"RT @BBCNewsbeat: YouTube has cut business ties with Logan Paul over his Japan suicide video:

https://t.co/uncjd0laob https://t.co/0G8JNGlO…",73
73,0.8126,Thu Jan 11 09:48:01 +0000 2018,0.67,0.0,@BBC,0.33,"RT @BBCWomansHour: ""Be unapologetically yourself."" 👌 
@Leomie_Anderson's best life advice, inspired by @rihanna 😘 
Hear more from women who…",74
74,0.0,Thu Jan 11 09:47:54 +0000 2018,1.0,0.0,@BBC,0.0,"RT @BBCRadio2: 🚨 Calling all teachers! The #500Words Live Lesson is back for 2018 - 2pm on Monday! 🚨

@HelenSkelton gives @achrisevans all…",75
75,0.2023,Thu Jan 11 09:26:31 +0000 2018,0.917,0.0,@BBC,0.083,"RT @bbcpress: The coat is back: @idriselba shoots series five #Luther @BBCOne, with new cast member @wunmo playing D.S. Catherine Halliday…",76
76,-0.5423,Thu Jan 11 09:00:06 +0000 2018,0.774,0.226,@BBC,0.0,"Is social media bad for you? 📱

The evidence and the unknowns. 👉 https://t.co/Y1TQBO5sjJ https://t.co/uKFj0uuhJz",77
77,0.0,Thu Jan 11 08:40:01 +0000 2018,1.0,0.0,@BBC,0.0,It's official... we actually can't resist puppy dog eyes. 🐶💕 https://t.co/fEvzozGFw0,78
78,0.5106,Thu Jan 11 08:20:04 +0000 2018,0.837,0.0,@BBC,0.163,"From Canada to Botswana, these 6 nations consistently rank highest for their social policies, trust in government &amp;… https://t.co/gbxplZyWcq",79
79,0.8126,Thu Jan 11 08:00:03 +0000 2018,0.72,0.0,@BBC,0.28,"'If I inspire even just one or two young black people to take up the cello, then that's a wonderful thing.' 🎻❤️️ https://t.co/LjRmCDIb14",80
80,0.0,Wed Jan 10 19:30:07 +0000 2018,1.0,0.0,@BBC,0.0,You can count on @BBCComedy's Tracey Ullman for a satirical take on current affairs… https://t.co/Tobb25eWjx,81
81,-0.4588,Wed Jan 10 19:20:39 +0000 2018,0.769,0.231,@BBC,0.0,"RT @BBCNews: How polluted is your street? 😷

Find out: https://t.co/MW9r2UMufj https://t.co/68AJfgg8rA",82
82,-0.4588,Wed Jan 10 19:20:03 +0000 2018,0.8,0.2,@BBC,0.0,RT @bbcthree: This is what happens when you breathe in polluted air. https://t.co/XZlWu2bQjD,83
83,0.8481,Wed Jan 10 19:00:03 +0000 2018,0.647,0.0,@BBC,0.353,"😂 @OfficialTLC's Scrubs is great song for the ladies... 

Not so great for the unemployed male.  

#LiveAtTheApollo https://t.co/7UAURqwqIx",84
84,0.0,Wed Jan 10 18:32:03 +0000 2018,1.0,0.0,@BBC,0.0,How much of your home's electricity bill goes on making cups of tea or  washing your clothes? Take this quiz to fin… https://t.co/pj3i1cRZaL,85
85,0.3182,Wed Jan 10 18:03:03 +0000 2018,0.887,0.0,@BBC,0.113,"Tonight, @CherryHealey teams up with independent scientists to put everyday cosmetics to the test. 💄🔬 

The Truth A… https://t.co/eVsmvaYTgZ",86
86,0.4939,Wed Jan 10 17:30:07 +0000 2018,0.862,0.0,@BBC,0.138,"To save Teresa’s life, doctors are going to have to remove part of her face.

(Warning: This video contains graphic… https://t.co/oXdQv5ABqa",87
87,0.0,Wed Jan 10 17:02:03 +0000 2018,1.0,0.0,@BBC,0.0,Why does adolescence last twice as long now as it did in the 1950s? 🤔 https://t.co/q3gMvr3mqU https://t.co/X5F9a925ET,88
88,-0.3612,Wed Jan 10 16:22:04 +0000 2018,0.783,0.217,@BBC,0.0,Snow has fallen in the Sahara desert. ❄️ https://t.co/804PRapagA https://t.co/RXHi6AdCHb,89
89,-0.6597,Wed Jan 10 15:30:06 +0000 2018,0.761,0.239,@BBC,0.0,Researchers have published a study revealing that dogs can be trained to smell cancer. 🐶 https://t.co/9mP5kjg6CZ https://t.co/yb7luqCMSp,90
90,0.3612,Wed Jan 10 15:06:03 +0000 2018,0.857,0.0,@BBC,0.143,These @BBCWthrWatchers photos capture what the weather has looked like across the UK lately. 🌧❄️🌥🌈… https://t.co/RXyER0dCkD,91
91,0.0,Wed Jan 10 14:33:02 +0000 2018,1.0,0.0,@BBC,0.0,The 5p charge for plastic bags in large shops in England could be extended to cover nearly all retailers. 🛍… https://t.co/nAgVcPMW7h,92
92,0.4201,Wed Jan 10 14:03:04 +0000 2018,0.872,0.0,@BBC,0.128,Nothing depicts the mindset of a time period quite like a living room.🚪Here's how the room has evolved over time. 👉… https://t.co/YS1jycfIZG,93
93,0.0,Wed Jan 10 13:37:04 +0000 2018,1.0,0.0,@BBC,0.0,"The International Space Station is humanity’s most expensive structure, but it could vanish in six years. 🚀🌒… https://t.co/cE7BhlzxQP",94
94,0.3182,Wed Jan 10 13:02:01 +0000 2018,0.796,0.0,@BBC,0.204,Think you're a bigger football fan than this guy? ❤️️️⚽️ https://t.co/nwkebUvYmb,95
95,0.0,Wed Jan 10 12:53:52 +0000 2018,1.0,0.0,@BBC,0.0,"RT @bbcthesocial: | @ShadyLawrence will blow your mind with this transformation! 

#TransformationTuesday https://t.co/eEFtUlYBTD",96
96,0.0,Wed Jan 10 12:29:40 +0000 2018,1.0,0.0,@BBC,0.0,"RT @BBCOne: 🐾 Black-footed cats are Africa’s smallest cat, and the deadliest of the entire cat family. Anything that moves is a potential m…",97
97,0.0,Wed Jan 10 12:29:17 +0000 2018,1.0,0.0,@BBC,0.0,"RT @TWBBC: Four of the biggest global health stories to follow in 2018:

1. The world's first malaria vaccine
2. Yemen on the brink of fami…",98
98,0.0,Wed Jan 10 12:25:16 +0000 2018,1.0,0.0,@BBC,0.0,"🐋❤️️ Could this be the first case on record of a humpback protecting a human?

Via @BBCNews https://t.co/78l0AKNbxB",99
99,0.0,Wed Jan 10 11:57:36 +0000 2018,1.0,0.0,@BBC,0.0,"RT @BBCRadio2: 📻 ANNOUNCEMENT 📻
We have a brand new schedule coming to Radio 2 this spring, featuring @jowhiley @simonmayo @sarajcox @djgar…",100
100,0.8016,Fri Jan 12 21:39:27 +0000 2018,0.703,0.0,@CBS,0.297,Star power makes these commercials instant classics! Vote for your favorite spot now and watch Super Bowl Greatest… https://t.co/DwBhTazToF,1
101,0.7717,Fri Jan 12 12:00:05 +0000 2018,0.676,0.0,@CBS,0.324,Four-time GRAMMY® winner @KeithUrban inspires the next generation of young artists through music education. Because… https://t.co/1a32zReMrn,2
102,0.0,Thu Jan 11 20:34:24 +0000 2018,1.0,0.0,@CBS,0.0,Here's why @startrekcbs needs to be your next binge: https://t.co/locrpdx0VT #StarTrekDiscovery https://t.co/XOMuprlXzG,3
103,0.555,Thu Jan 11 20:31:42 +0000 2018,0.796,0.0,@CBS,0.204,RT @Elementary_CBS: Your favorite detective duo is back! #Elementary returns April 30 at 10/9c! https://t.co/aG8XiwAd6S,4
104,0.0,Thu Jan 11 20:31:33 +0000 2018,1.0,0.0,@CBS,0.0,"RT @CodeBlackCBS: Return to Angels Memorial on Wednesday, May 2 for season 3 of #CodeBlack. https://t.co/ZmfuQhOwoU",5
105,0.1867,Thu Jan 11 12:00:06 +0000 2018,0.916,0.0,@CBS,0.084,#TBT to when @latelateshow's @JKCorden rolled into the 2017 #GRAMMYs! Don't miss him return to host The 60th Annual… https://t.co/CbczcnV3HK,6
106,0.8553,Wed Jan 10 17:15:18 +0000 2018,0.656,0.0,@CBS,0.344,Hosts @7BOOMERESIASON &amp; @DanielaRuah return in Super Bowl Greatest Commercials 2018 pitting man vs. beast! Cast you… https://t.co/bk8OKTblMw,7
107,0.0,Wed Jan 10 14:44:59 +0000 2018,1.0,0.0,@CBS,0.0,"Music's Biggest Night® just got bigger with epic performances by @BrunoMars with @iamcardib, @KeshaRose, @sza and m… https://t.co/rCWrP6PihR",8
108,0.1867,Tue Jan 09 19:30:28 +0000 2018,0.924,0.0,@CBS,0.076,RT @BullCBS: Dr. #Bull's latest case could change the way Psychologists work. Don't miss tonight's new episode at 9/8c on CBS! https://t.co…,9
109,0.836,Tue Jan 09 19:27:16 +0000 2018,0.683,0.0,@CBS,0.317,"🎶@Prince pushed the envelope and never settled for ordinary.

Celebrate the greatest artists in music history at Th… https://t.co/GPZ9YgK1tH",10
110,0.0,Tue Jan 09 18:29:39 +0000 2018,1.0,0.0,@CBS,0.0,RT @AmazingRaceCBS: This race is just getting started. Catch a new episode of The #AmazingRace tomorrow at 8/7c on CBS! https://t.co/Nab5DC…,11
111,0.0,Mon Jan 08 18:07:57 +0000 2018,1.0,0.0,@CBS,0.0,RT @startrekcbs: #StarTrekDiscovery is back! Episode 10 is now streaming on CBS All Access: https://t.co/xPeb97Rs8J https://t.co/Uvgab7nGgS,12
112,0.0,Mon Jan 08 14:34:48 +0000 2018,1.0,0.0,@CBS,0.0,"New year, new case. Watch the latest episode of #NCISLA now: https://t.co/1rAsX4EsiB https://t.co/QzRZcORK9r",13
113,0.0,Mon Jan 08 14:29:20 +0000 2018,1.0,0.0,@CBS,0.0,RT @AmazingRaceCBS: Which teams are zipping through the first leg of the #AmazingRace? https://t.co/8isAwPyrLY,14
114,0.0,Mon Jan 08 00:29:51 +0000 2018,1.0,0.0,@CBS,0.0,RT @MadamSecretary: Is VP Hurst going to work with or against Elizabeth? Stream a new #MadamSecretary live with CBS All Access: https://t.c…,15
115,0.0,Sat Jan 06 20:05:17 +0000 2018,1.0,0.0,@CBS,0.0,"RT @debrabirnbaum: .@ShawnRyanTV: To me, being on CBS is the opposite of preaching to the choir. #TCA18",16
116,0.8271,Sat Jan 06 19:04:08 +0000 2018,0.686,0.0,@CBS,0.314,RT @LivinBiblically: “The truth is it somehow gorgeously straddles both sides...I have had friends come from all different walks of life an…,17
117,-0.7717,Sat Jan 06 19:03:38 +0000 2018,0.774,0.226,@CBS,0.0,RT @instinctcbs: “This is a crime show where at the end you’re not reminded of how miserable things are in the world right now…You feel sat…,18
118,0.0,Sat Jan 06 00:37:55 +0000 2018,1.0,0.0,@CBS,0.0,"RT @startrekcbs: Star Trek has touched the lives of generations of fans, including the cast and writers of #StarTrekDiscovery. What's your…",19
119,0.0,Sat Jan 06 00:30:53 +0000 2018,1.0,0.0,@CBS,0.0,#StrangeAngel has found its leading man! Jack Reynor will star as famed rocket engineer Jack Parsons in the upcomin… https://t.co/sHkSKABGfd,20
120,0.8016,Fri Jan 12 21:39:27 +0000 2018,0.703,0.0,@CBS,0.297,Star power makes these commercials instant classics! Vote for your favorite spot now and watch Super Bowl Greatest… https://t.co/DwBhTazToF,21
121,0.7717,Fri Jan 12 12:00:05 +0000 2018,0.676,0.0,@CBS,0.324,Four-time GRAMMY® winner @KeithUrban inspires the next generation of young artists through music education. Because… https://t.co/1a32zReMrn,22
122,0.0,Thu Jan 11 20:34:24 +0000 2018,1.0,0.0,@CBS,0.0,Here's why @startrekcbs needs to be your next binge: https://t.co/locrpdx0VT #StarTrekDiscovery https://t.co/XOMuprlXzG,23
123,0.555,Thu Jan 11 20:31:42 +0000 2018,0.796,0.0,@CBS,0.204,RT @Elementary_CBS: Your favorite detective duo is back! #Elementary returns April 30 at 10/9c! https://t.co/aG8XiwAd6S,24
124,0.0,Thu Jan 11 20:31:33 +0000 2018,1.0,0.0,@CBS,0.0,"RT @CodeBlackCBS: Return to Angels Memorial on Wednesday, May 2 for season 3 of #CodeBlack. https://t.co/ZmfuQhOwoU",25
125,0.1867,Thu Jan 11 12:00:06 +0000 2018,0.916,0.0,@CBS,0.084,#TBT to when @latelateshow's @JKCorden rolled into the 2017 #GRAMMYs! Don't miss him return to host The 60th Annual… https://t.co/CbczcnV3HK,26
126,0.8553,Wed Jan 10 17:15:18 +0000 2018,0.656,0.0,@CBS,0.344,Hosts @7BOOMERESIASON &amp; @DanielaRuah return in Super Bowl Greatest Commercials 2018 pitting man vs. beast! Cast you… https://t.co/bk8OKTblMw,27
